,Year,Microsite,Exclosure,Gradient,Watered,Rep,D1,D2,H,Biomass,brome,rii.freq
119,2014,Shrub,N,2,Y,10,3.8,2.5,1.5,0.478501649,0.604395604,1
121,2014,Shrub,Y,2,Y,11,3.7,3.15,1.38,0.035662203,0.079365079,1
123,2014,Shrub,N,4,Y,7,3.98,3.12,1.32,-0.239114571,-0.327272727,-1
125,2014,Shrub,N,2,Y,12,3.43,2.84,1.32,-0.734145973,-0.636363636,-1
127,2014,Shrub,N,1,Y,8,3.3,2.5,1.78,0.333878441,-0.236842105,1
129,2014,Shrub,N,2,Y,13,3.6,3,1.7,-0.139947382,1,-1
131,2014,Shrub,N,5,Y,10,2.54,3.78,1.31,-0.55407141,1,-1
133,2014,Shrub,N,4,Y,8,4.1,2.9,1.8,0.060113729,1,1
135,2014,Shrub,N,4,Y,9,5.7,3.4,1.8,0.067162665,0,1
137,2014,Shrub,N,5,Y,11,3.66,3.02,1.27,0.754343712,1,1
139,2014,Shrub,N,1,Y,9,2.41,2.77,1.56,0.745293799,0.741935484,1
141,2014,Shrub,N,2,Y,14,3.94,4.29,1.2,0.652774424,1,1
143,2014,Shrub,Y,1,Y,10,4.37,3.96,1.71,0.381046282,0.396226415,1
145,2014,Shrub,N,3,Y,14,3.15,3.58,1.38,-0.216152019,-0.769230769,-1
147,2014,Shrub,N,1,Y,11,5.49,5.46,1.36,0.295452928,0.487804878,1
149,2014,Shrub,N,5,Y,12,3.6,3.7,1.5,0.333383256,0,1
151,2014,Shrub,Y,4,Y,10,3.8,3.2,1.4,0.809334811,0.671641791,1
153,2014,Shrub,Y,5,Y,13,4.27,3.53,1.88,-0.508153342,1,-1
155,2014,Shrub,Y,0,N,16,4.34,5.28,2.15,0.390183015,0.186440678,1
157,2014,Shrub,N,1,Y,12,2.77,3.51,1.23,0.344478553,0.015625,1
159,2014,Shrub,N,0,N,17,5.08,5.38,2.16,0.23512252,0.287356322,1
161,2014,Shrub,N,1,Y,13,4.39,4.34,1.5,-0.18524649,-0.194244604,-1
163,2014,Shrub,N,2,Y,15,3.52,2.64,1.46,0.468152515,0.196013289,1
165,2014,Shrub,N,5,Y,14,3.2,3.5,1.6,0.510096509,0.380597015,1
167,2014,Shrub,N,5,Y,15,4.4,3.62,1.9,0.077511797,0.56741573,1
169,2014,Shrub,N,4,Y,11,3.2,3.06,1.78,0.546295515,0.118644068,1
171,2014,Shrub,Y,4,Y,12,3.94,2.98,1.42,0.504153007,0.247191011,1
173,2014,Shrub,Y,1,Y,14,4.05,4,1.34,0.578344388,0.398773006,1
175,2014,Shrub,Y,3,Y,15,4.2,3.62,2.2,0.688731387,0.263157895,1
177,2014,Shrub,N,3,Y,16,4.68,3.72,1.64,0.742151664,0.652996845,1
179,2014,Shrub,N,4,Y,13,4.27,3.39,1.62,-0.191551464,-0.157894737,-1
181,2014,Shrub,N,3,Y,17,3.42,3.38,1.39,0.291800225,0.129032258,1
183,2014,Shrub,Y,2,Y,16,4.4,4.12,1.59,0.35947905,0.190243902,1
185,2014,Shrub,N,5,Y,16,4.67,3.6,1.89,0.537835351,0.629139073,1
187,2014,Shrub,N,1,Y,15,5.2,4.89,1.57,0.152640404,0.162790698,1
189,2014,Shrub,N,4,Y,14,5.27,4.5,1.73,0.320823799,0.136612022,1
191,2014,Shrub,Y,5,Y,17,4.62,4.26,1.53,0.654115756,0.304812834,1
193,2014,Shrub,N,2,Y,17,3.49,3.14,1.73,0.259830263,0.119402985,1
195,2014,Shrub,N,0,N,18,7.64,4.44,1.57,-0.086081482,-0.2,-1
197,2014,Shrub,N,1,Y,16,3.97,3.43,1.55,0.287436378,-0.089285714,1
199,2014,Shrub,N,5,Y,18,3.9,2.97,1.07,0.773152654,0.727272727,1
201,2014,Shrub,N,0,N,19,5.51,4.8,1.73,-0.077040427,-0.34939759,-1
203,2014,Shrub,Y,0,N,20,5.32,4.6,1.89,-0.609110779,-0.360824742,-1
205,2014,Shrub,N,1,Y,17,3.24,3.17,1.58,0.116532354,-0.121387283,1
207,2014,Shrub,Y,4,Y,15,3.8,3.5,1.38,0.603288244,0.359477124,1
209,2014,Shrub,N,3,Y,18,3.98,3.7,1.23,0.455009935,0.552631579,1
211,2014,Shrub,Y,1,Y,18,4.42,3.87,1.82,0.74992597,0.361111111,1
213,2014,Shrub,N,4,Y,16,3.6,2.9,1.99,0.416103557,0.008474576,1
215,2014,Shrub,N,2,Y,18,2.9,3,1.5,0.18343165,0.051724138,1
217,2014,Shrub,N,1,Y,19,4.42,3.94,1.63,-0.161189069,0.302325581,-1
219,2014,Shrub,N,2,Y,19,4.12,3.4,1.27,0.621244392,0.264957265,1
221,2014,Shrub,N,4,Y,17,4.4,3.9,1.79,-0.02397645,0.243243243,-1
223,2014,Shrub,N,4,Y,18,4.9,3.67,2.16,0.558465525,0.435294118,1
225,2014,Shrub,N,4,Y,19,5.06,3.95,1.74,0.613764766,0.501706485,1
227,2014,Shrub,N,4,Y,20,4.4,4.39,1.91,0.49564731,0.419354839,1
229,2014,Shrub,N,2,Y,20,4.62,5.02,1.73,0.209839693,0.03626943,1
231,2014,Shrub,N,5,Y,19,3.56,4.32,1.92,-0.060020973,-0.042944785,-1
233,2014,Shrub,N,1,Y,20,3.93,2.89,1.55,0.756064417,0.50310559,1
235,2014,Shrub,N,5,Y,20,2.53,2.93,1.56,-0.405857741,0.352941176,-1
237,2014,Shrub,N,3,Y,19,3.79,5.14,1.53,0.06830393,0.208888889,1
239,2014,Shrub,Y,3,Y,20,3.7,3.8,2,0.107109656,-0.041666667,1
241,2016,Shrub,Y,1,Y,1,4.3,3.8,1.5,0.809822631,0.388235294,1
243,2016,Shrub,Y,0,N,1,3.6,3.6,1.2,0.531984091,0.494736842,1
245,2016,Shrub,Y,1,Y,2,4.7,3.9,1.5,0.592753892,0.326530612,1
247,2016,Shrub,N,1,Y,1,5.3,4.3,1.8,0.652282591,0.623188406,1
249,2016,Shrub,Y,0,N,2,4.2,4.3,1.5,0.418628575,0.466666667,1
251,2016,Shrub,N,1,Y,2,3.7,2.8,1.3,0.979873824,0.319587629,1
253,2016,Shrub,N,0,N,1,4,4.4,1.1,0.758218609,0.264248705,1
255,2016,Shrub,Y,1,Y,3,4.5,3.6,1.8,0.627525801,0.611650485,1
257,2016,Shrub,Y,0,N,3,3.6,4.1,1.7,0.702878762,0.390134529,1
259,2016,Shrub,Y,1,Y,4,4.9,4.2,1.7,0.202111146,0.405940594,1
261,2016,Shrub,N,1,Y,3,6.2,5.3,1.2,0.860311379,0.717171717,1
263,2016,Shrub,N,0,N,2,4.6,4,1.4,0.626814694,0.179487179,1
265,2016,Shrub,N,1,Y,4,3.2,3.1,1.4,0.788859868,0.603864734,1
267,2016,Shrub,N,1,Y,5,2.8,3.4,1.4,0.81703349,0.371428571,1
269,2016,Shrub,Y,0,N,4,5.6,3.2,1.6,0.491461712,0.56462585,1
271,2016,Shrub,Y,1,Y,5,3,2.6,1.4,0.391537868,0.405405405,1
273,2016,Shrub,Y,0,N,5,3.2,3.15,1.25,0.71452974,0.573033708,1
275,2016,Shrub,N,0,N,3,3.45,3.15,1.05,0.731991933,0.363636364,1
277,2016,Shrub,Y,1,Y,6,4.45,3.2,1.73,0.620991693,0.805825243,1
279,2016,Shrub,N,1,Y,6,3.76,2.97,1.02,0.614123129,0.67,1
281,2016,Shrub,Y,0,N,6,3.42,2.56,1.16,0.313813447,0.642857143,1
283,2016,Shrub,N,0,N,4,5.1,3.63,1.49,0.874648464,0.846153846,1
285,2016,Shrub,Y,1,Y,7,3.8,4,1.12,0.261896826,0.519313305,1
287,2016,Shrub,Y,0,N,7,4.6,3.9,2.15,0.60533154,0.619512195,1
289,2016,Shrub,N,1,Y,7,5.4,3.5,0.94,0.776154658,0.261538462,1
291,2016,Shrub,Y,1,Y,8,2.9,2.3,0.97,0.572591032,0.153846154,1
293,2016,Shrub,N,0,N,5,4.5,3.3,1.37,0.576677679,0.47761194,1
295,2016,Shrub,N,0,N,6,4.3,3.3,1.7,0.689336394,0.111111111,1
297,2016,Shrub,N,1,N,8,3,3.9,1.71,0.580599289,-0.5,1
299,2016,Shrub,N,0,N,7,4.07,3.3,1.99,0.551851237,1,1
301,2016,Shrub,N,1,Y,9,3.25,2.5,1.34,0.504456728,1,1
303,2016,Shrub,N,0,N,8,4.1,4.5,1.5,0.78413417,0.72972973,1
305,2016,Shrub,Y,0,N,8,3.2,2.9,1.6,0.717741508,0.621621622,1
307,2016,Shrub,Y,1,Y,9,3.8,2.5,1.5,0.866153897,0.75,1
309,2016,Shrub,Y,0,N,9,3.98,3.12,1.32,0.687344516,0.697478992,1
311,2016,Shrub,Y,0,N,11,3.6,3,1.7,0.60965449,0.090909091,1
313,2016,Shrub,Y,1,Y,12,4.1,2.9,1.8,0.916659483,0.914529915,1
315,2016,Shrub,N,0,N,9,5.7,3.4,1.8,0.865715124,0.777777778,1
317,2016,Shrub,N,1,Y,10,3.66,3.02,1.27,0.882402897,0.785714286,1
319,2016,Shrub,Y,1,Y,10,2.41,2.77,1.56,0.771514611,0.658767773,1
321,2016,Shrub,Y,0,N,10,3.94,4.29,1.2,0.868644642,0.346153846,1
323,2016,Shrub,Y,1,Y,11,3.15,3.58,1.38,0.870466176,0.692307692,1
325,2016,Shrub,N,0,N,10,5.49,5.46,1.36,0.861857801,0.775,1
327,2016,Shrub,N,0,N,11,3.6,3.7,1.5,0.816540048,0.695652174,1
329,2016,Shrub,Y,0,Y,13,2.77,3.51,1.23,0.623335035,0.501779359,1
331,2016,Shrub,N,1,Y,11,5.08,5.38,2.16,0.738685714,0.457364341,1
333,2016,Shrub,N,0,N,12,4.39,4.34,1.5,0.835583992,0.764705882,1
335,2016,Shrub,Y,1,Y,14,3.52,2.64,1.46,0.54494079,0.300380228,1
337,2016,Shrub,Y,0,N,14,4.4,3.62,1.9,0.828315791,0.463414634,1
339,2016,Shrub,N,0,N,13,3.2,3.06,1.78,0.839613328,0.567099567,1
341,2016,Shrub,N,1,Y,12,4.27,3.39,1.62,0.771573806,0.425101215,1
343,2016,Shrub,N,1,Y,13,3.42,3.38,1.39,0.772953619,0.6,1
345,2016,Shrub,N,0,N,14,4.67,3.6,1.89,0.846963582,0.609561753,1
347,2016,Shrub,Y,0,Y,12,5.2,4.89,1.57,0.289002444,0.508928571,1
349,2016,Shrub,Y,1,Y,13,5.27,4.5,1.73,0.222660582,0.122994652,1
351,2016,Shrub,Y,1,Y,15,3.49,3.14,1.73,0.603292138,0.561181435,1
353,2016,Shrub,Y,0,N,15,3.97,3.43,1.55,0.467817444,0.543071161,1
355,2016,Shrub,N,1,N,14,3.9,2.97,1.07,0.744847811,0.239130435,1
357,2016,Shrub,N,1,Y,15,5.51,4.8,1.73,0.667040931,0.4375,1
359,2016,Shrub,N,0,N,15,3.24,3.17,1.58,0.670868841,0.300884956,1
